"","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","country"
"190",0.832,0.682,1,-3.828,1,0.046,0.00905,0,0.103,0.94,127.948,"audio_features","3F7ONltjlWoXuvpzK01YSK","spotify:track:3F7ONltjlWoXuvpzK01YSK","https://api.spotify.com/v1/tracks/3F7ONltjlWoXuvpzK01YSK","https://api.spotify.com/v1/audio-analysis/3F7ONltjlWoXuvpzK01YSK",199766,4,"KR"
"191",0.575,0.83,10,-2.704,0,0.0421,0.00317,0,0.0381,0.504,151.966,"audio_features","3tXzsm4d0w4w1Dyx7Eo88g","spotify:track:3tXzsm4d0w4w1Dyx7Eo88g","https://api.spotify.com/v1/tracks/3tXzsm4d0w4w1Dyx7Eo88g","https://api.spotify.com/v1/audio-analysis/3tXzsm4d0w4w1Dyx7Eo88g",207982,4,"KR"
"192",0.819,0.666,9,-3.859,1,0.07,0.208,0,0.112,0.596,99.989,"audio_features","2alRAEyM5GvxE8G94Lav4R","spotify:track:2alRAEyM5GvxE8G94Lav4R","https://api.spotify.com/v1/tracks/2alRAEyM5GvxE8G94Lav4R","https://api.spotify.com/v1/audio-analysis/2alRAEyM5GvxE8G94Lav4R",220187,4,"KR"
"193",0.957,0.708,0,-4.666,1,0.232,0.0348,0,0.0801,0.768,121.906,"audio_features","6Q9bzJRs0U0rLV0FRZom6d","spotify:track:6Q9bzJRs0U0rLV0FRZom6d","https://api.spotify.com/v1/tracks/6Q9bzJRs0U0rLV0FRZom6d","https://api.spotify.com/v1/audio-analysis/6Q9bzJRs0U0rLV0FRZom6d",166437,4,"KR"
"194",0.492,0.615,2,-6.663,1,0.244,0.196,0,0.0772,0.458,90.081,"audio_features","5quFr5s5PXYfUX5jV2EBZ1","spotify:track:5quFr5s5PXYfUX5jV2EBZ1","https://api.spotify.com/v1/tracks/5quFr5s5PXYfUX5jV2EBZ1","https://api.spotify.com/v1/audio-analysis/5quFr5s5PXYfUX5jV2EBZ1",203728,4,"KR"
"195",0.694,0.691,0,-4.791,1,0.287,0.226,0,0.104,0.678,93.91,"audio_features","1LNlfvPQmB0cqYJQQskZ8x","spotify:track:1LNlfvPQmB0cqYJQQskZ8x","https://api.spotify.com/v1/tracks/1LNlfvPQmB0cqYJQQskZ8x","https://api.spotify.com/v1/audio-analysis/1LNlfvPQmB0cqYJQQskZ8x",204992,4,"KR"
"196",0.613,0.668,8,-6.867,1,0.267,0.245,0,0.0735,0.509,96.176,"audio_features","2PcJoVkfjcbvoqBxV1Nj7y","spotify:track:2PcJoVkfjcbvoqBxV1Nj7y","https://api.spotify.com/v1/tracks/2PcJoVkfjcbvoqBxV1Nj7y","https://api.spotify.com/v1/audio-analysis/2PcJoVkfjcbvoqBxV1Nj7y",209393,4,"KR"
"197",0.504,0.711,9,-5.864,1,0.0452,0.0585,1.83e-05,0.382,0.5,134.824,"audio_features","3qGHAKgjQruzj6doKkyEb5","spotify:track:3qGHAKgjQruzj6doKkyEb5","https://api.spotify.com/v1/tracks/3qGHAKgjQruzj6doKkyEb5","https://api.spotify.com/v1/audio-analysis/3qGHAKgjQruzj6doKkyEb5",232933,4,"KR"
"198",0.403,0.724,8,-6.064,1,0.246,0.377,0,0.0927,0.428,97.133,"audio_features","2FWquqPNxte8iqZ3ATQG0p","spotify:track:2FWquqPNxte8iqZ3ATQG0p","https://api.spotify.com/v1/tracks/2FWquqPNxte8iqZ3ATQG0p","https://api.spotify.com/v1/audio-analysis/2FWquqPNxte8iqZ3ATQG0p",216786,4,"KR"
"199",0.745,0.902,6,-2.373,1,0.137,0.114,0,0.124,0.775,162.045,"audio_features","3gGyzpBLb7pqOw5oC47QaV","spotify:track:3gGyzpBLb7pqOw5oC47QaV","https://api.spotify.com/v1/tracks/3gGyzpBLb7pqOw5oC47QaV","https://api.spotify.com/v1/audio-analysis/3gGyzpBLb7pqOw5oC47QaV",221388,4,"KR"
