"","href","id","name","type","uri","external_urls.spotify","followers.href","genre","Metric","Value"
"11","https://api.spotify.com/v1/artists/4HQz6xUrKEKQ8nmMKsfvkB","4HQz6xUrKEKQ8nmMKsfvkB","yungsta","artist","spotify:artist:4HQz6xUrKEKQ8nmMKsfvkB","https://open.spotify.com/artist/4HQz6xUrKEKQ8nmMKsfvkB",NA,"Indian-rap","Popularity",38
"12","https://api.spotify.com/v1/artists/4HQz6xUrKEKQ8nmMKsfvkB","4HQz6xUrKEKQ8nmMKsfvkB","yungsta","artist","spotify:artist:4HQz6xUrKEKQ8nmMKsfvkB","https://open.spotify.com/artist/4HQz6xUrKEKQ8nmMKsfvkB",NA,"Indian-rap","Followers (in Thousands)",26.966
"13","https://api.spotify.com/v1/artists/0BoaYtrYdoKJ4khvk3KRJJ","0BoaYtrYdoKJ4khvk3KRJJ","Nishu","artist","spotify:artist:0BoaYtrYdoKJ4khvk3KRJJ","https://open.spotify.com/artist/0BoaYtrYdoKJ4khvk3KRJJ",NA,"Indian-rap","Popularity",35
"14","https://api.spotify.com/v1/artists/0BoaYtrYdoKJ4khvk3KRJJ","0BoaYtrYdoKJ4khvk3KRJJ","Nishu","artist","spotify:artist:0BoaYtrYdoKJ4khvk3KRJJ","https://open.spotify.com/artist/0BoaYtrYdoKJ4khvk3KRJJ",NA,"Indian-rap","Followers (in Thousands)",4.794
"15","https://api.spotify.com/v1/artists/1GNRmzBPWT8hh6CYxkNiRy","1GNRmzBPWT8hh6CYxkNiRy","Encore ABJ","artist","spotify:artist:1GNRmzBPWT8hh6CYxkNiRy","https://open.spotify.com/artist/1GNRmzBPWT8hh6CYxkNiRy",NA,"Indian-rap","Popularity",34
"16","https://api.spotify.com/v1/artists/1GNRmzBPWT8hh6CYxkNiRy","1GNRmzBPWT8hh6CYxkNiRy","Encore ABJ","artist","spotify:artist:1GNRmzBPWT8hh6CYxkNiRy","https://open.spotify.com/artist/1GNRmzBPWT8hh6CYxkNiRy",NA,"Indian-rap","Followers (in Thousands)",2.114
"17","https://api.spotify.com/v1/artists/7iEUKVcv42PUcIS696yadB","7iEUKVcv42PUcIS696yadB","Nazz","artist","spotify:artist:7iEUKVcv42PUcIS696yadB","https://open.spotify.com/artist/7iEUKVcv42PUcIS696yadB",NA,"Indian-rap","Popularity",33
"18","https://api.spotify.com/v1/artists/7iEUKVcv42PUcIS696yadB","7iEUKVcv42PUcIS696yadB","Nazz","artist","spotify:artist:7iEUKVcv42PUcIS696yadB","https://open.spotify.com/artist/7iEUKVcv42PUcIS696yadB",NA,"Indian-rap","Followers (in Thousands)",9.121
"19","https://api.spotify.com/v1/artists/7ti25GJHIRWZ5f1WN0T2zO","7ti25GJHIRWZ5f1WN0T2zO","Gravity","artist","spotify:artist:7ti25GJHIRWZ5f1WN0T2zO","https://open.spotify.com/artist/7ti25GJHIRWZ5f1WN0T2zO",NA,"Indian-rap","Popularity",34
"20","https://api.spotify.com/v1/artists/7ti25GJHIRWZ5f1WN0T2zO","7ti25GJHIRWZ5f1WN0T2zO","Gravity","artist","spotify:artist:7ti25GJHIRWZ5f1WN0T2zO","https://open.spotify.com/artist/7ti25GJHIRWZ5f1WN0T2zO",NA,"Indian-rap","Followers (in Thousands)",11.451
"21","https://api.spotify.com/v1/artists/5CUHx7NllJkKuAzrYIikDE","5CUHx7NllJkKuAzrYIikDE","D₹V","artist","spotify:artist:5CUHx7NllJkKuAzrYIikDE","https://open.spotify.com/artist/5CUHx7NllJkKuAzrYIikDE",NA,"Indian-rap","Popularity",34
"22","https://api.spotify.com/v1/artists/5CUHx7NllJkKuAzrYIikDE","5CUHx7NllJkKuAzrYIikDE","D₹V","artist","spotify:artist:5CUHx7NllJkKuAzrYIikDE","https://open.spotify.com/artist/5CUHx7NllJkKuAzrYIikDE",NA,"Indian-rap","Followers (in Thousands)",12.522
"23","https://api.spotify.com/v1/artists/0FNsBZmuLy2zPNjbYI5qKw","0FNsBZmuLy2zPNjbYI5qKw","Authen","artist","spotify:artist:0FNsBZmuLy2zPNjbYI5qKw","https://open.spotify.com/artist/0FNsBZmuLy2zPNjbYI5qKw",NA,"Indian-rap","Popularity",33
"24","https://api.spotify.com/v1/artists/0FNsBZmuLy2zPNjbYI5qKw","0FNsBZmuLy2zPNjbYI5qKw","Authen","artist","spotify:artist:0FNsBZmuLy2zPNjbYI5qKw","https://open.spotify.com/artist/0FNsBZmuLy2zPNjbYI5qKw",NA,"Indian-rap","Followers (in Thousands)",5.039
"25","https://api.spotify.com/v1/artists/6dGvfomwzrJ9Nz7hcOLPAH","6dGvfomwzrJ9Nz7hcOLPAH","MC THC","artist","spotify:artist:6dGvfomwzrJ9Nz7hcOLPAH","https://open.spotify.com/artist/6dGvfomwzrJ9Nz7hcOLPAH",NA,"Indian-rap","Popularity",33
"26","https://api.spotify.com/v1/artists/6dGvfomwzrJ9Nz7hcOLPAH","6dGvfomwzrJ9Nz7hcOLPAH","MC THC","artist","spotify:artist:6dGvfomwzrJ9Nz7hcOLPAH","https://open.spotify.com/artist/6dGvfomwzrJ9Nz7hcOLPAH",NA,"Indian-rap","Followers (in Thousands)",13.138
"27","https://api.spotify.com/v1/artists/6oo6QIEtGBm3SGMogP5YAl","6oo6QIEtGBm3SGMogP5YAl","the shloka","artist","spotify:artist:6oo6QIEtGBm3SGMogP5YAl","https://open.spotify.com/artist/6oo6QIEtGBm3SGMogP5YAl",NA,"Indian-rap","Popularity",33
"28","https://api.spotify.com/v1/artists/6oo6QIEtGBm3SGMogP5YAl","6oo6QIEtGBm3SGMogP5YAl","the shloka","artist","spotify:artist:6oo6QIEtGBm3SGMogP5YAl","https://open.spotify.com/artist/6oo6QIEtGBm3SGMogP5YAl",NA,"Indian-rap","Followers (in Thousands)",14.799
"29","https://api.spotify.com/v1/artists/010tbxYFwrOC8Nl2paePR6","010tbxYFwrOC8Nl2paePR6","Ink Heart","artist","spotify:artist:010tbxYFwrOC8Nl2paePR6","https://open.spotify.com/artist/010tbxYFwrOC8Nl2paePR6",NA,"Indian-rap","Popularity",34
"30","https://api.spotify.com/v1/artists/010tbxYFwrOC8Nl2paePR6","010tbxYFwrOC8Nl2paePR6","Ink Heart","artist","spotify:artist:010tbxYFwrOC8Nl2paePR6","https://open.spotify.com/artist/010tbxYFwrOC8Nl2paePR6",NA,"Indian-rap","Followers (in Thousands)",5.389
"31","https://api.spotify.com/v1/artists/4zEoVSkyaIZWC5DSRUvvbb","4zEoVSkyaIZWC5DSRUvvbb","Carryminati","artist","spotify:artist:4zEoVSkyaIZWC5DSRUvvbb","https://open.spotify.com/artist/4zEoVSkyaIZWC5DSRUvvbb",NA,"Indian-rap","Popularity",31
