"","disc_number","duration_ms","explicit","href","id","is_local","is_playable","name","popularity","preview_url","track_number","type","uri","album.album_type","album.href","album.id","album.name","album.release_date","album.release_date_precision","album.total_tracks","album.type","album.uri","album.external_urls.spotify","external_ids.isrc","external_urls.spotify","genre","country","restrictions.reason"
"913",1,172419,FALSE,"https://api.spotify.com/v1/tracks/2UsZC5QgWeHj8jlhEoXplf","2UsZC5QgWeHj8jlhEoXplf",FALSE,TRUE,"Party For The Night (Feat. Loco & LeeHi)",40,"https://p.scdn.co/mp3-preview/d89090e416244c8e636057c567873fd77a18e917?cid=2c522ebeb84f4aa189ec93288a41d97f",6,"track","spotify:track:2UsZC5QgWeHj8jlhEoXplf","album","https://api.spotify.com/v1/albums/0mKZ3E9OFlnbMboE22h0VK","0mKZ3E9OFlnbMboE22h0VK","grayground.","2021-08-17","day",11,"album","spotify:album:0mKZ3E9OFlnbMboE22h0VK","https://open.spotify.com/album/0mKZ3E9OFlnbMboE22h0VK","KRC712100031","https://open.spotify.com/track/2UsZC5QgWeHj8jlhEoXplf","rap","KR",NA
"914",1,194400,FALSE,"https://api.spotify.com/v1/tracks/27oib6lH3rWJxxkFbSp0de","27oib6lH3rWJxxkFbSp0de",FALSE,TRUE,"DINGO X GRAY - Moon Blue",40,"https://p.scdn.co/mp3-preview/f79c8fde692c3e418aded2159ebbe8265279dae0?cid=2c522ebeb84f4aa189ec93288a41d97f",1,"track","spotify:track:27oib6lH3rWJxxkFbSp0de","single","https://api.spotify.com/v1/albums/5H5DIPnf5XwHgSFeBQIiCi","5H5DIPnf5XwHgSFeBQIiCi","DINGO X GRAY - Moon Blue","2020-05-14","day",1,"album","spotify:album:5H5DIPnf5XwHgSFeBQIiCi","https://open.spotify.com/album/5H5DIPnf5XwHgSFeBQIiCi","KRC712000038","https://open.spotify.com/track/27oib6lH3rWJxxkFbSp0de","rap","KR",NA
"915",1,221142,FALSE,"https://api.spotify.com/v1/tracks/69F89vyxsDnnYNJ9HfwoKr","69F89vyxsDnnYNJ9HfwoKr",FALSE,TRUE,"Upside Down",39,"https://p.scdn.co/mp3-preview/4148886e57d0dbc92017c004c0053cb4d3ace5f6?cid=2c522ebeb84f4aa189ec93288a41d97f",1,"track","spotify:track:69F89vyxsDnnYNJ9HfwoKr","single","https://api.spotify.com/v1/albums/4WkcSqzSz1q7oNpZEBNZFc","4WkcSqzSz1q7oNpZEBNZFc","Upside Down","2018-05-01","day",2,"album","spotify:album:4WkcSqzSz1q7oNpZEBNZFc","https://open.spotify.com/album/4WkcSqzSz1q7oNpZEBNZFc","KRC711800007","https://open.spotify.com/track/69F89vyxsDnnYNJ9HfwoKr","rap","KR",NA
"916",1,236703,FALSE,"https://api.spotify.com/v1/tracks/69XHRP8AyobIbFELKSdOHp","69XHRP8AyobIbFELKSdOHp",FALSE,TRUE,"Tictoc Tictoc Tictoc (with Beenzino)",46,"https://p.scdn.co/mp3-preview/094f2de3188db90e5082f1fd6e6102a72c69fd1b?cid=2c522ebeb84f4aa189ec93288a41d97f",4,"track","spotify:track:69XHRP8AyobIbFELKSdOHp","single","https://api.spotify.com/v1/albums/0Pt0eGpyNO5dDN8PORypSy","0Pt0eGpyNO5dDN8PORypSy","NEXT EPISODE","2021-07-26","day",7,"album","spotify:album:0Pt0eGpyNO5dDN8PORypSy","https://open.spotify.com/album/0Pt0eGpyNO5dDN8PORypSy","KRA402100093","https://open.spotify.com/track/69XHRP8AyobIbFELKSdOHp","rap","KR",NA
"917",1,226612,FALSE,"https://api.spotify.com/v1/tracks/5tEouf2s1SPwAIkOHnvWtQ","5tEouf2s1SPwAIkOHnvWtQ",FALSE,TRUE,"Aqua Man",44,"https://p.scdn.co/mp3-preview/424716d8d3033e30990bd9d2e01cabb3760fe32f?cid=2c522ebeb84f4aa189ec93288a41d97f",4,"track","spotify:track:5tEouf2s1SPwAIkOHnvWtQ","single","https://api.spotify.com/v1/albums/6GzOG46xmgSfB0PQdsnMDU","6GzOG46xmgSfB0PQdsnMDU","24:26 (5th Anniversary Remaster Edition)","2017-07-10","day",9,"album","spotify:album:6GzOG46xmgSfB0PQdsnMDU","https://open.spotify.com/album/6GzOG46xmgSfB0PQdsnMDU","KRC531700032","https://open.spotify.com/track/5tEouf2s1SPwAIkOHnvWtQ","rap","KR",NA
"918",1,211251,FALSE,"https://api.spotify.com/v1/tracks/2y6Ur97SRouk64dvHMMsbu","2y6Ur97SRouk64dvHMMsbu",FALSE,TRUE,"Boogie On & On",40,"https://p.scdn.co/mp3-preview/d209c54ee6f03bb62c8faf3b8713f2c8d349c6a3?cid=2c522ebeb84f4aa189ec93288a41d97f",3,"track","spotify:track:2y6Ur97SRouk64dvHMMsbu","single","https://api.spotify.com/v1/albums/6GzOG46xmgSfB0PQdsnMDU","6GzOG46xmgSfB0PQdsnMDU","24:26 (5th Anniversary Remaster Edition)","2017-07-10","day",9,"album","spotify:album:6GzOG46xmgSfB0PQdsnMDU","https://open.spotify.com/album/6GzOG46xmgSfB0PQdsnMDU","KRC531700031","https://open.spotify.com/track/2y6Ur97SRouk64dvHMMsbu","rap","KR",NA
"919",1,223402,FALSE,"https://api.spotify.com/v1/tracks/1qF1S4e4WBw6nG1mglWfEH","1qF1S4e4WBw6nG1mglWfEH",FALSE,TRUE,"Dali, Van, Picasso",38,"https://p.scdn.co/mp3-preview/a4b2a058c11b30b33cb7834b7aa03dc39880b986?cid=2c522ebeb84f4aa189ec93288a41d97f",10,"track","spotify:track:1qF1S4e4WBw6nG1mglWfEH","album","https://api.spotify.com/v1/albums/5EOIB0TzyKgOG1WoeE9gLE","5EOIB0TzyKgOG1WoeE9gLE","12","2016-05-31","day",11,"album","spotify:album:5EOIB0TzyKgOG1WoeE9gLE","https://open.spotify.com/album/5EOIB0TzyKgOG1WoeE9gLE","KRC531600251","https://open.spotify.com/track/1qF1S4e4WBw6nG1mglWfEH","rap","KR",NA
"920",1,271508,FALSE,"https://api.spotify.com/v1/tracks/4qkLMfY5sczhls5VDdsrT1","4qkLMfY5sczhls5VDdsrT1",FALSE,TRUE,"Nike Shoes",37,"https://p.scdn.co/mp3-preview/b3df960020fd6edd9f63b2f3ba3ecb6cd9eb34bf?cid=2c522ebeb84f4aa189ec93288a41d97f",1,"track","spotify:track:4qkLMfY5sczhls5VDdsrT1","single","https://api.spotify.com/v1/albums/6GzOG46xmgSfB0PQdsnMDU","6GzOG46xmgSfB0PQdsnMDU","24:26 (5th Anniversary Remaster Edition)","2017-07-10","day",9,"album","spotify:album:6GzOG46xmgSfB0PQdsnMDU","https://open.spotify.com/album/6GzOG46xmgSfB0PQdsnMDU","KRC531700029","https://open.spotify.com/track/4qkLMfY5sczhls5VDdsrT1","rap","KR",NA
"921",1,187061,FALSE,"https://api.spotify.com/v1/tracks/74yV7OO9okeK2VROw9k8aq","74yV7OO9okeK2VROw9k8aq",FALSE,TRUE,"Fashion Hoarder",36,"https://p.scdn.co/mp3-preview/623a2895f6e4852d7039dbbb9fe5f897a3e151e4?cid=2c522ebeb84f4aa189ec93288a41d97f",1,"track","spotify:track:74yV7OO9okeK2VROw9k8aq","single","https://api.spotify.com/v1/albums/54raPqsVO70w92rOVD1plB","54raPqsVO70w92rOVD1plB","Fashion Hoarder","2019-07-21","day",1,"album","spotify:album:54raPqsVO70w92rOVD1plB","https://open.spotify.com/album/54raPqsVO70w92rOVD1plB","KRA491900500","https://open.spotify.com/track/74yV7OO9okeK2VROw9k8aq","rap","KR",NA
"922",1,179076,FALSE,"https://api.spotify.com/v1/tracks/46sqZ2wihaT6Y5CqeshQjd","46sqZ2wihaT6Y5CqeshQjd",FALSE,TRUE,"The Fearless Ones",36,"https://p.scdn.co/mp3-preview/18940cf4c99f0f519e9ffafb65c2d9a6fe3d6239?cid=2c522ebeb84f4aa189ec93288a41d97f",1,"track","spotify:track:46sqZ2wihaT6Y5CqeshQjd","single","https://api.spotify.com/v1/albums/0MCxLqjxcjCpFDFWU7szeu","0MCxLqjxcjCpFDFWU7szeu","The Fearless Ones","2019-05-15","day",1,"album","spotify:album:0MCxLqjxcjCpFDFWU7szeu","https://open.spotify.com/album/0MCxLqjxcjCpFDFWU7szeu","KRC531900009","https://open.spotify.com/track/46sqZ2wihaT6Y5CqeshQjd","rap","KR",NA
"923",1,205266,FALSE,"https://api.spotify.com/v1/tracks/2lWfyAvn4jbmGD0JWJ5DgL","2lWfyAvn4jbmGD0JWJ5DgL",FALSE,TRUE,"Seoul Night 서울 밤 (feat. Beenzino)",35,"https://p.scdn.co/mp3-preview/90cefad7e208b20dde2ef6b1f9882d29ea739d76?cid=2c522ebeb84f4aa189ec93288a41d97f",1,"track","spotify:track:2lWfyAvn4jbmGD0JWJ5DgL","single","https://api.spotify.com/v1/albums/5UStHDWClB34bZbajHTBJ3","5UStHDWClB34bZbajHTBJ3","Seoul Night 서울 밤 (feat. Beenzino)","2019-06-13","day",1,"album","spotify:album:5UStHDWClB34bZbajHTBJ3","https://open.spotify.com/album/5UStHDWClB34bZbajHTBJ3","KRMIM1909685","https://open.spotify.com/track/2lWfyAvn4jbmGD0JWJ5DgL","rap","KR",NA
"924",1,257919,TRUE,"https://api.spotify.com/v1/tracks/0XAjKGJBKFVfiG3XvGwIcH","0XAjKGJBKFVfiG3XvGwIcH",FALSE,FALSE,"If I Die Tomorrow",35,NA,8,"track","spotify:track:0XAjKGJBKFVfiG3XvGwIcH","single","https://api.spotify.com/v1/albums/7eaR08LzRS8EOKXBWMzaqV","7eaR08LzRS8EOKXBWMzaqV","2 4 : 2 6","2012-07-03","day",9,"album","spotify:album:7eaR08LzRS8EOKXBWMzaqV","https://open.spotify.com/album/7eaR08LzRS8EOKXBWMzaqV","KRA341606938","https://open.spotify.com/track/0XAjKGJBKFVfiG3XvGwIcH","rap","KR","explicit"
"925",1,184853,FALSE,"https://api.spotify.com/v1/tracks/6ZY5lLjDmK6Bzon5vseYLn","6ZY5lLjDmK6Bzon5vseYLn",FALSE,TRUE,"Break",32,"https://p.scdn.co/mp3-preview/a5501d56bf38eb85984fa3dffdc987bafe8cf388?cid=2c522ebeb84f4aa189ec93288a41d97f",7,"track","spotify:track:6ZY5lLjDmK6Bzon5vseYLn","album","https://api.spotify.com/v1/albums/5EOIB0TzyKgOG1WoeE9gLE","5EOIB0TzyKgOG1WoeE9gLE","12","2016-05-31","day",11,"album","spotify:album:5EOIB0TzyKgOG1WoeE9gLE","https://open.spotify.com/album/5EOIB0TzyKgOG1WoeE9gLE","KRC531600250","https://open.spotify.com/track/6ZY5lLjDmK6Bzon5vseYLn","rap","KR",NA
"926",1,180423,FALSE,"https://api.spotify.com/v1/tracks/6JeleVHUHrdvgiFESE33ZU","6JeleVHUHrdvgiFESE33ZU",FALSE,TRUE,"MELODY",51,"https://p.scdn.co/mp3-preview/41e5643c7a6de2f8caff1f6c9d9b57d25076e31d?cid=2c522ebeb84f4aa189ec93288a41d97f",1,"track","spotify:track:6JeleVHUHrdvgiFESE33ZU","album","https://api.spotify.com/v1/albums/5FyZZQnOzCUzAMWmeWbQhO","5FyZZQnOzCUzAMWmeWbQhO","ISLAND","2021-03-05","day",11,"album","spotify:album:5FyZZQnOzCUzAMWmeWbQhO","https://open.spotify.com/album/5FyZZQnOzCUzAMWmeWbQhO","KRE132100006","https://open.spotify.com/track/6JeleVHUHrdvgiFESE33ZU","rap","KR",NA
